,builtin_importance,shap_importance
categorical_ohe_pipeline__country_PRT,0.07363372,1.0905321
categorical_ohe_pipeline__deposit_type_Non Refund,0.40729088,1.0869898
categorical_high_cardinal_pipeline__agent,0.042475726,1.0568573
normal_numeric_pipeline__previous_cancellations,0.057145476,0.8559344
low_variance_numeric_pipeline__total_of_special_requests,0.07407378,0.6163611
normal_numeric_pipeline__lead_time,0.023024192,0.52622247
low_variance_numeric_pipeline__required_car_parking_spaces,0.103044905,0.4530923
categorical_ohe_pipeline__room_type_changed_1,0.12704493,0.36881933
skewed_numeric_pipeline__booking_changes,0.021520099,0.1648356
categorical_ohe_pipeline__distribution_channel_TA/TO,0.019901896,0.10168864
categorical_ohe_pipeline__market_segment_Groups,0.015802082,0.085029766
categorical_ohe_pipeline__market_segment_Direct,0.015310948,0.077536374
categorical_ohe_pipeline__hotel_Resort Hotel,0.010135847,0.06048236
categorical_ohe_pipeline__distribution_channel_Direct,0.0058404338,0.025886483
categorical_ohe_pipeline__assigned_room_type_D,0.003755074,0.016191738
