,permutation_importance
agent,0.13862940072190214
country,0.07523271520840272
deposit_type,0.05569690539619402
total_of_special_requests,0.037005981806381726
lead_time,0.0369141539067507
required_car_parking_spaces,0.03458187144786183
room_type_changed,0.017524175462881098
market_segment,0.0077195992630035735
booking_changes,0.006820836378675288
distribution_channel,0.002236775374936173
previous_cancellations,0.0009419600660048766
children,0.0
total_stay_nights,0.0
arrival_date_year,0.0
total_guests,0.0
has_children,0.0
has_babies,0.0
is_family,0.0
has_company,0.0
has_agent,0.0
